Grocery_Stores_Per1000,FFRPTH14,FOODINSEC_13_15,Median_Income,Adult_Obesity_Rate13,Adult_Diabetes_Rate13,Farmers_Markets_Count_16,Poverty_Rate,PCT_LACCESS_POP15,LACCESS_LOWI15,Population,Adult_Obesity_Rate_08,Adult_Diabetes_Rate_08,GYMs_09_Count,GYMs_14_Count,GYMs_Change_09_14_Rate,GYMs_Per_1000_Count_09,GYMs_Per_1000_Count_14,GYMs_Per_1000_Count_Change_09_14_Rate,Food_Tax_Rate_14,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,PCT_LOCLFARM12,PC_DIRSALES12,PCH_DIRSALES_07_12,FMRKTPTH16,PCH_FMRKTPTH_09_16,PCT_FMRKT_SNAP16,PCH_VEG_ACRESPTH_07_12,FARM_TO_SCHOOL13,PCH_FRESHVEG_FARMS_07_12,FOODINSEC_10_12,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,GROC09,GROC14,GROCPTH09,PCH_GROCPTH_09_14,FFR09,FFR14,FFRPTH09,FSR09,FSR14,FSRPTH09,FSRPTH14,LACCESS_POP10,LACCESS_POP15,PCT_LACCESS_POP10,LACCESS_LOWI10,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_BLACK15,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_65OLDER10,PCT_18YOUNGER10,POPLOSS10,FIPS,State,County,Min_PCT,Max_PCT,CategoryName,Description,CategoryName_restaurant,RuleDescription,Risk_Level,Rule_Description,StatusName,Rule_Description_socio,ProfileName,Description_local
0.072208683,0.649878148,17.6,56580.0,34.1,13.0,1.0,12.7,32.062254747184035,6543.67682386602,55416.0,31.5,11.4,4.0,5.0,25.0,0.073889351,0.090260854,22.156783103,4.0,0.9703046,0.9722159,0.9232891,4.0,4.0,4.0,4.0,13.110539845758353,5.582238332578161,208.0,0.018045329868629997,-54.20456185939084,0.0,-5.020389669234258,1.0,26.47058823529412,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,6.0,4.0,0.110834026,-34.849715678,30.0,36.0,0.55417013,34.0,29.0,0.628059481,0.523512952,18428.4396853647,17496.6930380858,33.76965730033296,5344.42747247314,471.136164350057,86.767975169827,4216.47319356368,77.2461563834271,17.582598816221072,2.4005424126367485,11.995382162687141,26.777958989206724,0.0,1063.28,AL,Autauga,20.0,100.0,Low access,Population = 20% with low access,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,High Income,Households with income above 60% of the mean income,Mixed Market,County with a balance between local and external business interactions
0.14491957,0.659633903,17.6,52387.0,27.4,10.4,4.0,12.9,16.767489331327024,9886.83113695157,208563.0,26.2,9.8,18.0,25.0,38.888888889,0.100331093,0.124930663,24.518392292,4.0,1.01769,1.001391,0.9401653,4.0,4.0,4.0,4.0,10.414560161779574,3.403432845227841,-9.37062937062937,0.01917885722779208,-13.753637989480499,0.0,-9.449778356688162,0.0,-1.9607843137254901,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,24.0,29.0,0.13377479,8.331001294,112.0,132.0,0.624282354,202.0,221.0,1.125937817,1.104387065,35210.8140777756,30561.2644297432,19.318472596371,9952.14402697035,1377.87483396046,212.946378394542,3540.96582645598,83.50478698598195,9.308424546676543,4.384824294296766,16.771184813321263,22.987408443749484,0.0,1063.28,AL,Baldwin,10.0,20.0,Moderate access,10% = low-access < 20%,Full-Service,Restaurants offrant un service complet à table,Low Risk,Counties with obesity rate < 25% or diabetes rate < 8%,Middle Income,Households with income between 40% and 60% of the mean income,Mixed Market,County with a balance between local and external business interactions
0.185963477,0.818239298,17.6,31433.0,44.4,18.4,4.0,32.0,22.105560066973666,2948.79025102387,25965.0,37.6,13.6,1.0,0.0,-100.0,0.0361572,0.0,-100.0,4.0,1.136671,0.9925836,1.0594,4.0,4.0,4.0,4.0,2.276707530647986,0.4786626900843183,18.181818181818183,0.154053533602927,129.05449643751183,50.0,2.2018483743878816,1.0,-36.36363636363637,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,5.0,5.0,0.180786058,2.863837542,21.0,22.0,0.759301443,12.0,15.0,0.433886539,0.55789043,5722.3056022933,6069.52362758896,20.840971709557856,3135.67608617583,509.377525052818,17.0964100404502,2713.12492972364,46.75310485486397,46.691189860509155,5.05153512765415,14.236806643114688,21.906981826128128,0.0,1063.28,AL,Barbour,10.0,20.0,Moderate access,10% = low-access < 20%,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Poverty,Individuals or households below the federal poverty line,Local Market,County with majority of businesses and consumers operating within local supply chains
0.222162979,0.222162979,17.6,40767.0,40.3,14.8,1.0,22.2,4.2303244206186426,596.162828807213,22643.0,32.3,11.1,1.0,1.0,0.0,0.0435901,0.0444326,1.932817915,4.0,0.9703046,0.9722159,0.9232891,4.0,4.0,4.0,4.0,6.878306878306878,0.8833141948591113,-56.52173913043478,0.04416375921918474,-4.663692973546012,0.0,-0.9009804787562995,0.0,0.0,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,6.0,5.0,0.261540473,-15.055985071,7.0,5.0,0.305130552,6.0,5.0,0.261540473,0.222162979,1044.86732736101,969.378840984762,4.559752683225005,491.449066238583,8.59676248193227,1.99431798684236,419.099942484012,75.02072878027492,21.92450360026184,1.7717652192886755,12.68164957451451,22.696923412611827,0.0,1063.28,AL,Bibb,0.0,10.0,High access,<10% low-access,Full-Service,Restaurants offrant un service complet à table,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Poverty,Individuals or households below the federal poverty line,Mixed Market,County with a balance between local and external business interactions
0.103951905,0.363831667,17.6,50487.0,34.6,14.1,1.0,14.7,6.497380137361867,1650.95948166117,57704.0,31.9,11.4,3.0,3.0,0.0,0.0523186,0.051976,-0.654897001,4.0,0.9703046,0.9722159,0.9232891,4.0,4.0,4.0,4.0,7.0910556003223215,8.567571309886459,15.384615384615385,0.017329821156245668,1.1108415361156005,0.0,-2.658543339795073,1.0,-9.230769230769232,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,6.0,6.0,0.104637171,-0.654897001,24.0,21.0,0.418548682,19.0,15.0,0.33135104,0.259879762,1548.17555923387,3724.42824233857,2.700840094961568,609.02770839259,497.489891290528,8.42899439623579,95.8426872727741,88.88733819475942,1.2630403684449252,8.070199923240642,14.722096228324203,24.608352813928335,0.0,1063.28,AL,Blount,0.0,10.0,High access,<10% low-access,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Middle Income,Households with income between 40% and 60% of the mean income,Mixed Market,County with a balance between local and external business interactions
0.185804534,0.2787068,17.6,28251.0,43.0,11.1,1.0,15.1,37.950342361794206,2154.78929983559,10362.0,37.8,14.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9703046,0.9722159,0.9232891,4.0,4.0,4.0,4.0,4.395604395604396,5.468602677729587,38.095238095238095,0.09650646593321752,6.012352827639426,0.0,3.8185932491042776,0.0,-52.94117647058824,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,2.0,2.0,0.182033312,2.07172055,4.0,3.0,0.364066624,2.0,1.0,0.182033312,0.092902267,4089.9835478141,4141.90036536622,37.47465226144493,2199.35982793515,24.0788894071457,0.968748204904841,2634.50668503436,21.916804104819498,1.7599528015737957,7.119296316657504,13.459776433938062,22.264980758658602,0.0,1063.28,AL,Bullock,20.0,100.0,Low access,Population = 20% with low access,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Poverty,Individuals or households below the federal poverty line,Local Market,County with majority of businesses and consumers operating within local supply chains
0.147812377,0.837603469,17.6,33868.0,36.3,17.7,2.0,25.8,6.226804584468373,612.934760794224,19998.0,36.8,15.1,0.0,1.0,0.0,0.0,0.0492708,0.0,4.0,0.9703046,0.9722159,0.9232891,4.0,4.0,4.0,4.0,7.616707616707617,6.419051352410819,5.248618784530387,0.10001000100010002,-0.17001700170050266,0.0,2.3814190513524003,0.0,21.052631578947366,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,3.0,3.0,0.143767671,2.813362239,17.0,17.0,0.814683472,19.0,10.0,0.910528586,0.492707923,1307.81970553017,1304.32875630859,6.243470213062348,593.225138622194,11.0849018942851,4.95549835638667,550.901102632739,54.06024729078149,43.18995560223421,0.9118250823506946,16.65632310116007,24.137107939084355,1.0,1063.28,AL,Butler,0.0,10.0,High access,<10% low-access,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Poverty,Individuals or households below the federal poverty line,Local Market,County with majority of businesses and consumers operating within local supply chains
0.232927292,0.888574485,17.6,42091.0,32.2,14.9,2.0,20.0,23.433851807648516,10883.2099687745,114611.0,33.5,14.5,7.0,7.0,0.0,0.0591401,0.0603886,2.111011422,4.0,0.9703046,0.9722159,0.9232891,4.0,4.0,4.0,4.0,8.445945945945946,2.4299575396893065,256.25,0.01745033199256616,-0.4624337978031202,50.0,-0.9165629316372054,0.0,-40.0,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,25.0,27.0,0.211214653,10.279892336,95.0,103.0,0.802615682,67.0,77.0,0.566055271,0.66427413,30901.1505851428,27785.986765365,26.061085741273487,11909.1628579287,970.893190568127,235.07120252761,5465.72518034221,73.61350065782815,20.39014269810748,3.283237189218365,14.328846607968154,22.877239145835443,0.0,1063.28,AL,Calhoun,10.0,20.0,Moderate access,10% = low-access < 20%,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,Moderate Risk,Counties with obesity rate between 25% and 35% or diabetes rate between 8% and 10%,Low Income,Households with income below 40% of the mean income,Mixed Market,County with a balance between local and external business interactions
0.205423172,0.763000352,17.6,35560.0,39.7,16.4,1.0,22.4,20.843214136062457,3533.91621589475,33843.0,35.5,9.8,2.0,0.0,-100.0,0.0581666,0.0,-100.0,4.0,0.8567245,0.9908802,0.799857,4.0,4.0,4.0,4.0,7.308970099667775,1.966250917094644,0.0,0.029548207901190792,1.4094495168869239,0.0,2.2655906089508475,0.0,33.33333333333333,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,7.0,7.0,0.203583062,0.903861956,22.0,26.0,0.63983248,19.0,16.0,0.552582597,0.469538678,6748.21322261533,7131.50571665377,19.722967185782053,3018.28474660405,126.786631121557,108.493405609874,2616.9630131652,58.14116615519509,38.59710653222271,1.5665643723513079,16.676896098202544,22.51351746310098,1.0,1063.28,AL,Chambers,10.0,20.0,Moderate access,10% = low-access < 20%,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Poverty,Individuals or households below the federal poverty line,Mixed Market,County with a balance between local and external business interactions
0.192034413,0.576103238,17.6,39144.0,33.6,13.3,1.0,19.4,0.39833198231404826,57.4649017164193,25725.0,31.5,13.6,1.0,1.0,0.0,0.0386787,0.0384069,-0.70284595,4.0,0.8567245,0.9908802,0.799857,4.0,4.0,4.0,4.0,2.4955436720142603,1.1912538907889174,-42.592592592592595,0.038872691933916424,-4.964042759961025,0.0,-1.8060946086154506,1.0,-75.0,17.9,-0.3,6.8,7.3,0.5,8.5,9.3,4.0,5.0,0.154714938,24.121442563,16.0,15.0,0.618859751,10.0,11.0,0.386787344,0.422475708,79.410234562587,103.522498883598,0.30555325161640307,34.4838623480173,0.348952026106417,0.0,1.41091329790652,92.07356958713302,4.640424795105622,1.2312901612220555,17.896032937011814,21.41675324175613,0.0,1063.28,AL,Cherokee,0.0,10.0,High access,<10% low-access,Fast-Food,Restaurants à service rapide proposant des repas à emporter ou sur place,High Risk,Counties with obesity rate > 35% or diabetes rate > 10%,Low Income,Households with income below 40% of the mean income,Mixed Market,County with a balance between local and external business interactions
